iter	RMSE
0	67.91149624
1	67.58830785
2	67.25229065
3	66.92652821
4	66.62326266
5	66.30544962
6	65.99220235
7	65.6738924
8	65.36662275
9	65.06660823
10	64.77089182
11	64.47952217
12	64.20427249
13	63.94049812
14	63.65420488
15	63.37873337
16	63.10138589
17	62.83476374
18	62.56902853
19	62.32002085
20	62.0648444
21	61.81394874
22	61.56607891
23	61.31719994
24	61.07215406
25	60.83876261
26	60.60808312
27	60.38047926
28	60.1607381
29	59.9455982
30	59.73014587
31	59.51132392
32	59.29013731
33	59.07672276
34	58.87278686
35	58.66210371
36	58.45707912
37	58.25389435
38	58.05949688
39	57.86610875
40	57.67618892
41	57.48578816
42	57.30539399
43	57.12697286
44	56.94643514
45	56.77508955
46	56.59992178
47	56.42320874
48	56.25524437
49	56.08971065
50	55.93161865
51	55.76238808
52	55.6104471
53	55.45224242
54	55.29742434
55	55.14735811
56	55.00369142
57	54.85167595
58	54.71480378
59	54.57240846
60	54.43431949
61	54.29035649
62	54.15605088
63	54.01818608
64	53.88531693
65	53.7492215
66	53.62699817
67	53.49327698
68	53.37067286
69	53.24155825
70	53.12739988
71	53.00947776
72	52.90094435
73	52.78430078
74	52.67077496
75	52.56420724
76	52.45008211
77	52.33481576
78	52.22935877
79	52.12643562
80	52.02289647
81	51.91881132
82	51.82050005
83	51.72263097
84	51.62844911
85	51.53300847
86	51.43920968
87	51.34963229
88	51.25854844
89	51.1654944
90	51.07925694
91	50.99376796
92	50.90340475
93	50.82080453
94	50.73676802
95	50.66657631
96	50.59109076
97	50.51336373
98	50.43741284
99	50.36053693
100	50.30021302
101	50.22527306
102	50.1471741
103	50.07832867
104	50.01043796
105	49.93859568
106	49.86787374
107	49.79638158
108	49.73197919
109	49.66908339
110	49.6052006
111	49.54592769
112	49.4847299
113	49.42695883
114	49.368112
115	49.31329779
116	49.25839423
117	49.1971079
118	49.13751235
119	49.08676062
120	49.02608725
121	48.97856687
122	48.92422966
123	48.87179009
124	48.82140014
125	48.76091603
126	48.70297737
127	48.64853497
128	48.59597335
129	48.55216095
130	48.50100202
131	48.45688335
132	48.42079216
